Ploidy,Species,Dev,Dev50,Devprog
01synth,QM24a,60,0.204907397,0.095461539
01synth,QM24a,60,0.080222029,0.121718601
01synth,QM24a,60,0.139294567,0.125197925
01synth,QM24a,60,0.041238068,0.0612073
01synth,QM24a,60,0.46159759,0.509605112
01synth,QM24a,60,0.13217149,0.025758983
01synth,QM24a,60,0.364115278,0.08236489
01synth,QM24a,60,0.069385491,0.048922603
01synth,QM24a,60,0.001915726,0.024598596
01synth,QM24a,60,0.235482581,0.171305425
01synth,QM24a,60,0.10824744,0.074473814
01synth,QM24a,60,0.297491477,0.18433223
01synth,QM24a,60,0.03559101,0.218273519
01synth,QM24a,60,0.030796329,0.099327353
01synth,QM24a,60,0.109034643,0.13138464
01synth,QM24a,60,0.085494212,0.023883497
01synth,QM24a,60,0.499999572,1.83698E-07
01synth,QM24a,60,0.136477614,0.143247886
01synth,QM24a,60,0.051259407,0.162648751
01synth,QM24a,60,0.028436054,0.032082857
01synth,QM24a,60,0.139024279,0.548553446
01synth,QM24a,60,0.021283615,0.071249306
01synth,QM24a,60,0.499999951,2.39944E-08
01synth,QM24a,60,0.202035352,0.092922626
01synth,QM24a,60,0.218507676,0.046394405
01synth,QM24a,60,0.193364016,0.045963713
01synth,QM24a,60,0.202365866,0.108255959
01synth,QM24a,60,0.229040716,0.085324312
01synth,QM24a,60,0.056917208,0.007678167
01synth,QM24a,60,0.072389393,0.041322154
01synth,QM24a,60,0.217004413,0.325268048
01synth,QM24a,60,0.036249003,0.034635839
01synth,QM24a,60,0.085777136,0.09778113
01synth,QM24a,60,0.19056836,0.015489859
01synth,QM24a,60,0.174502355,0.077266733
01synth,QM24a,60,0.372730085,0.095278268
01synth,QM24a,60,0.004552452,0.077474464
01synth,QM24a,60,0.118941389,0.038089471
01synth,QM24a,60,0.051102629,0.023286899
01synth,QM24a,60,0.112582146,0.324289498
01synth,QM24a,60,0.119528748,0.619528434
01synth,QM24a,60,0.073905392,0.005646302
01synth,QM24a,60,0.243181877,0.331062569
01synth,QM24a,60,0.499999646,3.02571E-07
01synth,QM24a,60,0.222741178,0.277258766
01synth,QM24a,60,0.283781991,0.043430733
01synth,QM24a,60,0.084780604,0.072906493
01synth,QM24a,60,0.198169698,0.139549013
01synth,QM24a,60,0.05926233,0.079232161
01synth,QM24a,60,0.029183956,0.07974974
01synth,QM24a,60,0.12895387,0.069297345
01synth,QM24a,60,0.168920112,0.077348532
01synth,QM24a,60,0.249055526,0.096619864
01synth,QM24a,60,0.248845394,0.114145594
01synth,QM24a,60,0.137647658,0.045611074
01synth,QM24a,60,0.392283883,0.196761253
01synth,QM24a,60,0.011183606,0.090058762
01synth,QM24a,60,0.216981568,0.530683797
01synth,QM24a,60,0.097491831,0.091499351
01synth,QM24a,60,0.18793196,0.450890526
01synth,QM24a,60,0.193417235,0.076314011
01synth,QM24a,60,0.478874083,0.021698157
01synth,QM24a,60,0.409404405,0.491850068
01synth,QM24a,60,0.051897461,0.06401999
01synth,QM24a,60,0.261863768,0.350026037
01synth,QM24a,60,0.236261727,0.141332119
01synth,QM24a,60,0.221186215,0.03810986
01synth,QM24a,60,0.261862539,0.205019381
01synth,QM24a,60,0.017466847,0.146957799
01synth,QM24a,60,0.109454856,0.158619487
01synth,QM24a,60,0.232003272,0.267996557
01synth,QM24a,60,0.384345571,0.324063819
01synth,QM24a,60,0.077347217,0.129654813
01synth,QM24a,60,0.084865323,0.04585282
01synth,QM24a,60,0.041038111,0.040366692
01synth,QM24a,60,0.047264008,0.452735979
01synth,QM24a,60,0.254369646,0.103396609
01synth,QM24a,60,0.350063195,0.068552252
01synth,QM24a,60,0.168758153,0.113995522
01synth,QM24a,60,0.18210238,0.026748936
01synth,QM24a,60,0.051909907,0.063249012
01synth,QM24a,60,0.127094719,0.248055265
01synth,QM24a,60,0.128357151,0.244832738
01synth,QM24a,60,0.262777613,0.262015705
01synth,QM24a,60,0.237937034,0.280557166
01synth,QM24a,60,0.103232563,0.083341055
01synth,QM24a,60,0.34207512,0.043495484
01synth,QM24a,60,0.094043175,0.074924151
01synth,QM24a,60,0.162117286,0.350430696
01synth,QM24a,60,0.046705225,0.138571676
01synth,QM24a,60,0.329836995,0.159027552
01synth,QM24a,60,0.056246295,0.301512124
01synth,QM24a,60,0.056720675,0.24558125
01synth,QM24a,60,0.019112785,0.08369362
01synth,QM24a,60,0.006898216,0.055972739
01synth,QM24a,60,0.014743122,0.165797693
01synth,QM24a,60,0.16458431,0.101323101
01synth,QM24a,60,0.018722279,0.107094986
01synth,QM24a,60,0.101968605,0.021473052
01synth,QM24a,60,0.065776946,0.048580754
01synth,QM24a,60,0.155072564,0.598891059
01synth,QM24a,60,0.069670654,0.080014361
01synth,QM24a,60,0.111738667,0.020775916
01synth,QM24a,60,0.183835208,0.387820029
01synth,QM24a,60,0.237428727,0.229129771
01synth,QM24a,60,0.153134397,0.115122372
01synth,QM24a,60,0.043951147,0.131948637
01synth,QM24a,60,0.014084723,0.040509169
01synth,QM24a,60,0.020300861,0.115343038
01synth,QM24a,60,0.015062812,0.066214517
01synth,QM24a,60,0.065056786,0.031745763
01synth,QM24a,60,0.014578115,0.086172354
01synth,QM24a,60,0.216572715,0.037098977
01synth,QM24a,60,0.114075567,0.445865562
01synth,QM24a,60,0.287962948,0.050122818
01synth,QM24a,60,0.384633354,0.044309451
01synth,QM24a,60,0.331390385,0.085604625
01synth,QM24a,60,0.022441845,0.077706868
01synth,QM24a,60,0.00207224,0.17006689
01synth,QM24a,60,0.358579418,0.062850247
01synth,QM24a,60,0.258695687,0.417994417
01synth,QM24a,60,0.263731132,0.102027803
01synth,QM24a,60,0.115422073,0.150066283
01synth,QM24a,60,0.343251087,0.175279362
01synth,QM24a,60,0.009532653,0.179304205
01synth,QM24a,60,0.175957766,0.089552598
01synth,QM24a,60,0.083268653,0.366511336
01synth,QM24a,60,0.21712788,0.135713923
01synth,QM24a,60,0.388826611,0.01656505
01synth,QM24a,60,0.052152267,0.082352058
01synth,QM24a,60,0.042463306,0.164408349
01synth,QM24a,60,0.281920228,0.027279648
01synth,QM24a,60,0.081154228,0.418845397
01synth,QM24a,60,0.099068787,0.032341447
01synth,QM24a,60,0.000539258,0.100974137
01synth,QM24a,60,0.082222213,0.086194897
01synth,QM24a,60,0.016473834,0.210777751
01synth,QM24a,60,0.106260522,0.056604297
01synth,QM24a,60,0.017340953,0.012992836
01synth,QM24a,60,0.142544427,0.037935292
01synth,QM24a,60,0.063011556,0.081252355
01synth,QM24a,60,0.24274945,0.143197131
01synth,QM24a,60,0.137925589,0.211538109
01synth,QM24a,60,0.24206954,0.08555731
01synth,QM24a,60,0.103420632,0.312833543
01synth,QM24a,60,0.361269855,0.0066621
01synth,QM24a,60,0.149564125,0.158779265
01synth,QM24a,60,0.211774106,0.059545613
01synth,QM24a,60,0.06314669,0.026656584
01synth,QM24a,60,0.063377439,0.056012887
01synth,QM24a,60,0.143816335,0.470291736
01synth,QM24a,60,0.052729327,0.20057409
01synth,QM24a,60,0.01330191,0.159967043
01synth,QM24a,60,0.038636223,0.03881772
01synth,QM24a,60,0.327908907,0.640910296
01synth,QM24a,60,0.433039955,0.169524329
01synth,QM24a,60,0.004615359,0.152066795
01synth,QM24a,60,0.199091398,0.206208502
01synth,QM24a,60,0.007539133,0.0193033
01synth,QM24a,60,0.385186513,0.027577356
01synth,QM24a,60,0.01721017,0.039573174
01synth,QM24a,60,0.018215355,0.006915336
01synth,QM24a,60,0.144042537,0.067759642
01synth,QM24a,60,0.201471834,0.008310708
01synth,QM24a,60,0.103094985,0.252333254
01synth,QM24a,60,0.5,0.999999644
01synth,QM24a,60,0.063209821,0.234920764
01synth,QM24a,60,0.002263788,0.218786324
01synth,QM24a,60,0.413952522,0.00501506
01synth,QM24a,60,0.00173946,0.001486925
01synth,QM24a,60,0.106526948,0.059830595
01synth,QM24a,60,0.284039895,0.124961728
01synth,QM24a,60,0.252846923,0.063261617
01synth,QM24a,60,0.485626485,0.124845489
01synth,QM24a,60,0.227648675,0.055762619
01synth,QM24a,60,0.23695512,0.187119163
01synth,QM24a,60,0.342785647,0.372441394
01synth,QM24a,60,0.408138124,0.041323807
01synth,QM24a,60,0.188068018,0.060681217
01synth,QM24a,60,0.061471337,0.188306995
01synth,QM24a,60,0.368457454,0.358079665
01synth,QM24a,60,0.044623559,0.082949117
01synth,QM24a,60,0.339487819,0.336208579
01synth,QM24a,60,0.00428095,0.014047043
01synth,QM24a,60,0.005928458,0.041624072
01synth,QM24a,60,0.224419887,0.106749608
01synth,QM24a,60,0.258925697,0.113119306
01synth,QM24a,60,0.228926986,0.175764151
01synth,QM24a,60,0.363602891,0.037160239
01synth,QM24a,60,0.012165446,0.073507528
01synth,QM24a,60,0.089481387,0.148913602
01synth,QM24a,60,0.027262034,0.035837473
01synth,QM24a,60,0.298350212,0.176299921
01synth,QM24a,60,0.118330929,0.316353577
01synth,QM24a,60,0.167344385,0.049479009
01synth,QM24a,60,0.254853431,0.202647268
01synth,QM24a,60,0.235925472,0.051626592
01synth,QM24a,60,0.301267207,0.218157884
01synth,QM24a,60,0.036655634,0.019165189
01synth,QM24a,60,0.14217851,0.192622611
01synth,QM24a,60,0.346877248,0.099979439
01synth,QM24a,60,0.053286798,0.097305495
01synth,QM24a,60,0.111054235,0.193778819
01synth,QM24a,60,0.34456882,0.139391895
01synth,QM24a,60,0.162823407,0.10934364
01synth,QM24a,60,0.156495576,0.070470081
01synth,QM24a,60,0.163616557,0.11295852
01synth,QM24a,60,0.177107982,0.091589973
01synth,QM24a,60,0.180004278,0.331211002
01synth,QM24a,60,0.307411749,0.05181127
01synth,QM24a,60,0.155838314,0.344161506
01synth,QM24a,60,0.265145648,0.057662521
01synth,QM24a,60,0.162848465,0.103357843
01synth,QM24a,60,0.031596519,0.001717643
01synth,QM24a,60,0.499999961,1.81521E-08
01synth,QM24a,60,0.0215964,0.053963965
01synth,QM24a,60,0.097800682,0.075487234
01synth,QM24a,60,0.290013629,0.021925894
01synth,QM24a,60,0.025062397,0.111959522
01synth,QM24a,60,0.013162851,0.143811446
01synth,QM24a,60,0.024448497,0.119768
01synth,QM24a,60,0.488811332,0.034583692
01synth,QM24a,60,0.136386895,0.131407825
01synth,QM24a,60,0.055648306,0.115895037
01synth,QM24a,60,0.059579221,0.094516832
01synth,QM24a,60,0.043514478,0.173777211
01synth,QM24a,60,0.267613931,0.232386009
01synth,QM24a,60,0.009478333,0.053684944
01synth,QM24a,60,0.219691347,0.106521271
01synth,QM24a,60,0.159973459,0.196810437
01synth,QM24a,60,0.499999901,0.475124323
01synth,QM24a,60,0.49999986,6.95021E-08
01synth,QM24a,60,0.499999871,3.97576E-07
01synth,QM24a,60,0.17185833,0.066540341
01synth,QM24a,60,0.261552429,0.150564403
01synth,QM24a,60,0.127822122,0.292083492
01synth,QM24a,60,0.150192604,0.027772536
01synth,QM24a,60,0.314107165,0.012149807
01synth,QM24a,60,0.14866787,0.113904876
01synth,QM24a,60,0.19749127,0.064816193
01synth,QM24a,60,0.041112356,0.189129631
01synth,QM24a,60,0.078781936,0.337867528
01synth,QM24a,60,0.087212852,0.001150054
01synth,QM24a,60,0.019022212,0.003425683
01synth,QM24a,60,0.187582506,0.106021154
01synth,QM24a,60,0.181359267,0.034025175
01synth,QM24a,60,0.5,0.841304256
01synth,QM24a,60,0.204444445,0.013753371
01synth,QM24a,60,0.027359041,0.106199679
01synth,QM24a,60,0.16923067,0.031104865
01synth,QM24a,60,0.192657631,0.098497519
01synth,QM24a,60,0.327086541,0.118459036
01synth,QM24a,60,0.059096956,0.11058739
01synth,QM24a,60,0.241823662,0.4374758
01synth,QM24a,60,0.137658598,0.068253554
01synth,QM24a,60,0.021589334,0.389022001
01synth,QM24a,60,0.117730542,0.148580158
01synth,QM24a,60,0.094098212,0.022441652
01synth,QM24a,60,0.156181519,0.200097184
01synth,QM24a,60,0.186881877,0.403863013
01synth,QM24a,60,0.236197582,0.250470361
01synth,QM24a,60,0.021601314,0.01192823
01synth,QM24a,60,0.225905488,0.277515679
01synth,QM24a,60,8.258E-05,0.373086384
01synth,QM24a,60,0.378408987,0.121590946
01synth,QM24a,60,0.206834264,0.27082602
01synth,QM24a,60,0.021625458,0.022265821
01synth,QM24a,60,0.5,0.484210454
01synth,QM24a,60,0.287970734,0.059313156
01synth,QM24a,60,0.188516302,0.088645098
01synth,QM24a,60,0.072912043,0.004858745
01synth,QM24a,60,0.499999884,8.62231E-08
01synth,QM24a,60,0.086262339,0.333686016
01synth,QM24a,60,0.5,0.21330274
01synth,QM24a,60,0.178737383,0.064055045
01synth,QM24a,60,0.206106199,0.01298327
01synth,QM24a,60,0.499999829,1.32359E-07
01synth,QM24a,60,0.332423998,0.186241939
01synth,QM24a,60,0.061754994,0.019242792
