Gene,comp,X,sampleA,sampleB,logFC,logCPM,PValue,FDR,prog
tANS,03tabChusylv,Ntome_NODE_458_length_6137_cov_152,TABC60,Sylv60,4.719883965,0.600239967,0.001078403,0.002614631,tomf
tCHI,03tabChusylv,Ntome_NODE_12485_length_1899_cov_72,TABC60,Sylv60,7.936468906,4.561626456,0.000123132,0.00035398,tomf
tCHI,03tabChusylv,Ntome_NODE_23712_length_942_cov_283,TABC60,Sylv60,6.510909449,5.509875907,3.97E-07,4.99E-06,tomf
tCHS,03tabChusylv,Ntome_NODE_17155_length_1434_cov_311,TABC60,Sylv60,10.5478478,6.866933069,1.02E-05,4.23E-05,tomf
tCHS,03tabChusylv,Ntome_NODE_11583_length_2004_cov_299,TABC60,Sylv60,10.58030076,7.923991138,6.89E-08,2.30E-06,tomf
tDFR,03tabChusylv,Ntome_NODE_17574_length_1395_cov_290,TABC60,Sylv60,6.495462437,1.070995497,0.000207737,0.000570054,tomf
tF3'H,03tabChusylv,Ntome_NODE_11705_length_1990_cov_273,TABC60,Sylv60,5.714964142,5.472106981,2.89E-05,9.95E-05,tomf
tF3H,03tabChusylv,Ntome_NODE_35522_length_353_cov_288,TABC60,Sylv60,9.14717556,4.248766572,3.79E-05,0.000125179,tomf
tF3H,03tabChusylv,Ntome_NODE_37856_length_291_cov_297,TABC60,Sylv60,12.29980648,7.479536544,5.98E-06,2.80E-05,tomf
tF3H,03tabChusylv,Ntome_NODE_5151_length_3044_cov_142,TABC60,Sylv60,11.3247641,6.152630934,2.00E-07,3.59E-06,tomf
tFLS,03tabChusylv,Ntome_NODE_3232_length_3609_cov_134,TABC60,Sylv60,7.764751174,6.57320811,4.10E-07,5.06E-06,tomf
tFLS,03tabChusylv,Ntome_NODE_4642_length_3174_cov_75,TABC60,Sylv60,10.43490382,6.030952628,2.06E-06,1.32E-05,tomf
tAN2,04QM24sylv,Ntome_NODE_23004_length_983_cov_98,QM2460,Sylv60,7.195801559,2.934719321,0.009940145,0.027447361,tomf
tCHI,04QM24sylv,Ntome_NODE_12485_length_1899_cov_72,QM2460,Sylv60,7.374550679,3.664822619,0.006364239,0.019112793,tomf
tCHI,04QM24sylv,Ntome_NODE_23712_length_942_cov_283,QM2460,Sylv60,6.819563669,5.418390487,1.17E-05,0.000100401,tomf
tCHS,04QM24sylv,Ntome_NODE_17155_length_1434_cov_311,QM2460,Sylv60,9.885371304,5.798269457,0.001322003,0.005222705,tomf
tCHS,04QM24sylv,Ntome_NODE_11583_length_2004_cov_299,QM2460,Sylv60,10.58028828,7.554754621,7.38E-06,7.04E-05,tomf
tDFR,04QM24sylv,Ntome_NODE_17574_length_1395_cov_290,QM2460,Sylv60,6.572764138,0.708355362,0.016751482,0.041361489,tomf
tF3'H,04QM24sylv,Ntome_NODE_11705_length_1990_cov_273,QM2460,Sylv60,5.283025391,4.60471834,0.000122621,0.000670333,tomf
tF3H,04QM24sylv,Ntome_NODE_35522_length_353_cov_288,QM2460,Sylv60,9.978835011,4.634952078,0.014177784,0.036282608,tomf
tF3H,04QM24sylv,Ntome_NODE_37856_length_291_cov_297,QM2460,Sylv60,12.02061857,6.783348274,0.006921485,0.02047084,tomf
tF3H,04QM24sylv,Ntome_NODE_5151_length_3044_cov_142,QM2460,Sylv60,11.14612335,5.549917472,0.000275406,0.001362333,tomf
tFLS,04QM24sylv,Ntome_NODE_3232_length_3609_cov_134,QM2460,Sylv60,7.654285836,6.046443929,3.92E-06,4.36E-05,tomf
tFLS,04QM24sylv,Ntome_NODE_4642_length_3174_cov_75,QM2460,Sylv60,10.69831837,5.87384457,0.00260687,0.009213386,tomf
sANS,05QM25sylv,Nsylvestris_NODE_4044_length_3219_cov_205,QM2560,Sylv60,3.079811409,3.91526544,5.94E-05,0.000192935,sylv
sDFR,05QM25sylv,Nsylvestris_NODE_16810_length_1371_cov_224,QM2560,Sylv60,3.093948064,3.232806423,0.00012292,0.000367125,sylv
tAN1,05QM25sylv,Ntome_NODE_269_length_6958_cov_177,QM2560,Sylv60,7.323064211,2.41620704,1.52E-05,6.06E-05,tomf
tAN2,05QM25sylv,Ntome_NODE_23004_length_983_cov_98,QM2560,Sylv60,7.274493857,3.295147855,0.0001073,0.000324963,tomf
tANS,05QM25sylv,Ntome_NODE_458_length_6137_cov_152,QM2560,Sylv60,6.432553091,2.141361889,0.000102983,0.000313635,tomf
tCHI,05QM25sylv,Ntome_NODE_12485_length_1899_cov_72,QM2560,Sylv60,7.350260745,3.823710066,0.000190474,0.000544894,tomf
tCHI,05QM25sylv,Ntome_NODE_23712_length_942_cov_283,QM2560,Sylv60,6.852402687,5.701453657,3.76E-07,4.28E-06,tomf
tCHS,05QM25sylv,Ntome_NODE_17155_length_1434_cov_311,QM2560,Sylv60,10.0548451,6.347728953,4.48E-05,0.000151096,tomf
tCHS,05QM25sylv,Ntome_NODE_11583_length_2004_cov_299,QM2560,Sylv60,10.61209579,7.826875808,1.71E-07,2.69E-06,tomf
tDFR,05QM25sylv,Ntome_NODE_17574_length_1395_cov_290,QM2560,Sylv60,9.714038121,3.893153466,5.86E-07,5.62E-06,tomf
tF3'H,05QM25sylv,Ntome_NODE_11705_length_1990_cov_273,QM2560,Sylv60,5.812333638,5.387361513,1.09E-05,4.61E-05,tomf
tF3H,05QM25sylv,Ntome_NODE_35522_length_353_cov_288,QM2560,Sylv60,9.586235414,4.523695239,2.26E-05,8.40E-05,tomf
tF3H,05QM25sylv,Ntome_NODE_37856_length_291_cov_297,QM2560,Sylv60,11.76870571,6.834733057,1.09E-05,4.61E-05,tomf
tF3H,05QM25sylv,Ntome_NODE_5151_length_3044_cov_142,QM2560,Sylv60,10.73904452,5.457406935,5.69E-07,5.52E-06,tomf
tFLS,05QM25sylv,Ntome_NODE_3232_length_3609_cov_134,QM2560,Sylv60,7.380297225,6.071955586,2.23E-06,1.37E-05,tomf
tFLS,05QM25sylv,Ntome_NODE_4642_length_3174_cov_75,QM2560,Sylv60,10.21697331,5.71308084,4.34E-06,2.24E-05,tomf
sANS,06tab095tomf,Nsylvestris_NODE_4044_length_3219_cov_205,TAB09560,Tom60,6.625974243,5.260311163,0.000183913,0.000494405,sylv
sCHI,06tab095tomf,Nsylvestris_NODE_32653_length_365_cov_193,TAB09560,Tom60,6.424547676,4.300651124,2.79E-06,1.40E-05,sylv
sCHI,06tab095tomf,Nsylvestris_NODE_7397_length_2505_cov_84,TAB09560,Tom60,10.6915982,4.546223841,3.46E-08,9.38E-07,sylv
sCHS,06tab095tomf,Nsylvestris_NODE_15514_length_1500_cov_222,TAB09560,Tom60,4.439833548,5.017929817,0.004082765,0.008469394,sylv
sCHS,06tab095tomf,Nsylvestris_NODE_13755_length_1678_cov_225,TAB09560,Tom60,7.638761043,6.455522635,4.89E-06,2.16E-05,sylv
sDFR,06tab095tomf,Nsylvestris_NODE_16810_length_1371_cov_224,TAB09560,Tom60,8.22983436,2.365953725,6.06E-06,2.57E-05,sylv
sF3'H,06tab095tomf,Nsylvestris_NODE_4292_length_3153_cov_190,TAB09560,Tom60,8.477707191,2.479946533,4.93E-06,2.18E-05,sylv
sF3H,06tab095tomf,Nsylvestris_NODE_14312_length_1619_cov_212,TAB09560,Tom60,3.525652996,6.340044529,4.23E-06,1.93E-05,sylv
tCHS,06tab095tomf,Ntome_NODE_17155_length_1434_cov_311,TAB09560,Tom60,-2.388730304,7.62896869,0.00113958,0.002636611,tomf
tFLS,06tab095tomf,Ntome_NODE_3232_length_3609_cov_134,TAB09560,Tom60,-2.676994538,7.432936609,3.90E-05,0.000123423,tomf
tFLS,06tab095tomf,Ntome_NODE_4642_length_3174_cov_75,TAB09560,Tom60,-2.674220758,6.974189443,0.00010533,0.000298711,tomf
sANS,07tabChutomf,Nsylvestris_NODE_4044_length_3219_cov_205,TABC60,Tom60,3.990428996,2.531201096,0.000139287,0.000386333,sylv
sCHI,07tabChutomf,Nsylvestris_NODE_32653_length_365_cov_193,TABC60,Tom60,7.487484651,5.390742242,6.77E-06,2.94E-05,sylv
sCHI,07tabChutomf,Nsylvestris_NODE_7397_length_2505_cov_84,TABC60,Tom60,11.90104003,5.722271405,2.45E-09,1.63E-06,sylv
sCHS,07tabChutomf,Nsylvestris_NODE_15514_length_1500_cov_222,TABC60,Tom60,5.92006915,6.198930739,0.000108804,0.000309361,sylv
