Gene,comp,X,sampleA,sampleB,logFC,logCPM,PValue,FDR,prog
sF3H,06tab095tomf,Nsylvestris_NODE_14312_length_1619_cov_212,TAB09585,Tom85,3.271377654,6.784483303,0.00012134,0.000398838,sylv
tFLS,06tab095tomf,Ntome_NODE_3232_length_3609_cov_134,TAB09585,Tom85,-2.920297822,6.85600404,0.000707629,0.001849912,tomf
tFLS,06tab095tomf,Ntome_NODE_4642_length_3174_cov_75,TAB09585,Tom85,-3.08723257,6.334716392,0.00032961,0.000941553,tomf
sAN1,07tabChutomf,Nsylvestris_NODE_6982_length_2572_cov_107,TABC85,Tom85,2.766934615,5.205566346,0.00238411,0.005610202,sylv
sANS,07tabChutomf,Nsylvestris_NODE_4044_length_3219_cov_205,TABC85,Tom85,6.905872555,8.505538181,3.91E-06,4.90E-05,sylv
sCHI,07tabChutomf,Nsylvestris_NODE_32653_length_365_cov_193,TABC85,Tom85,8.244103597,6.706101133,3.28E-05,0.000153278,sylv
sCHI,07tabChutomf,Nsylvestris_NODE_7397_length_2505_cov_84,TABC85,Tom85,10.22445255,6.856992792,6.37E-06,5.95E-05,sylv
sCHS,07tabChutomf,Nsylvestris_NODE_15514_length_1500_cov_222,TABC85,Tom85,7.331964684,7.627275512,1.26E-05,8.47E-05,sylv
sCHS,07tabChutomf,Nsylvestris_NODE_13755_length_1678_cov_225,TABC85,Tom85,9.575114002,9.182200589,2.51E-06,4.34E-05,sylv
sDFR,07tabChutomf,Nsylvestris_NODE_16810_length_1371_cov_224,TABC85,Tom85,10.42539393,4.224625592,1.32E-05,8.72E-05,sylv
sF3'H,07tabChutomf,Nsylvestris_NODE_4292_length_3153_cov_190,TABC85,Tom85,9.352558802,3.873772181,6.21E-06,5.87E-05,sylv
sF3H,07tabChutomf,Nsylvestris_NODE_14312_length_1619_cov_212,TABC85,Tom85,4.40188977,7.855214822,2.46E-05,0.000126962,sylv
sFLS,07tabChutomf,Nsylvestris_NODE_15824_length_1466_cov_202,TABC85,Tom85,3.526285905,6.668377237,4.11E-05,0.000180196,sylv
